站點名稱,TM2x,TM2y
新竹士林市場站,245970.5232,2745928.867
HiLife 新竹竹諺店站,246140.8074,2743270.636
Gogoro 新竹北大店站,246173.7017,2744272.662
宏佳騰新竹北大店站,246095.9641,2744260.955
竹光國民運動中心站,245260.1131,2744432.649
全家新竹遠百店站,246360.1854,2743805.819
7-ELEVEN 冠盈店站,242858.2346,2747562.244
7-ELEVEN 聖華店站,244709.6141,2748686.238
全家新竹金鵬店站,244865.89,2744199.598
中油南寮加油站,242510.4671,2748748.984
新竹南寮市場站,242556.4599,2748221.167
全聯新竹武陵店站,246739.5899,2745906.8
全家新竹武東店站,246541.2759,2745651.726
大潤發新竹湳雅店站,247047.382,2745647.798
車麗屋新竹中華店站,249096.0212,2745190.354
新竹國賓大飯店站,247800.1881,2744340.336
西歐新竹中華加油站,248182.2336,2744554.156
南山人壽新竹科技大樓站,250524.3306,2743586.168
Gogoro 東區民權服務中心站,247626.2484,2744332.246
新科國民運動中心站,252443.4543,2741440.148
HiLife 新竹竹亮店站,247971.3522,2744036.719
新竹竹蓮市場站,247234.22,2743564.272
中油新竹明湖加油站,247794.8579,2740079.972
全家新竹五福店站,247957.2135,2740035.466
Gogoro 新竹東勝門市站,247957.7977,2743988.32
全聯新竹金山店站,252034.6214,2741231.235
全家新竹金元寶店站,252034.6493,2741041.783
順發3C新竹店站,250157.8901,2742922.47
迪卡儂新竹店站,251257.2057,2742707.178
台亞經國路一加油站,248494.0505,2745263.286
順發3C新竹經國店站,247840.1642,2745258.499
全聯新竹龍山店站,251031.9732,2742584.561
全家新竹龍山店站,251245.4053,2742380.694
全聯關新西店站,252016.7232,2742408.497
鼎盛十里關新店站,251980.7722,2741954.924
Gogoro 新竹關新服務中心站,251973.0351,2742321.523
中油百祥加油站,242553.2038,2742185.228
全家新竹中華店站,245171.7799,2738860.957
7-ELEVEN 岦湖店站,240486.3233,2737185.287
全家新竹濱海店站,246694.7863,2743533.168
全聯新竹大庄店站,242732.2946,2742778.689
中油奕承加油站,245764.2852,2739225.711