x1,y1,,x2,y2
245970.5232,2745928.867,,239987,2739560
246140.8074,2743270.636,,241003,2738246
246173.7017,2744272.662,,240987,2739814
246095.9641,2744260.955,,240299,2738654
245260.1131,2744432.649,,241203,2738918
246360.1854,2743805.819,,241625,2738112
242858.2346,2747562.244,,241041,2739218
244709.6141,2748686.238,,240655,2739614
244865.89,2744199.598,,240437,2738390
242510.4671,2748748.984,,240213,2738684
242556.4599,2748221.167,,240145,2741444
246739.5899,2745906.8,,241049,2740832
246541.2759,2745651.726,,241155,2741458
247047.382,2745647.798,,240555,2740426
249096.0212,2745190.354,,240985,2741258
247800.1881,2744340.336,,241775,2740902
248182.2336,2744554.156,,241539,2741612
250524.3306,2743586.168,,240859,2741886
247626.2484,2744332.246,,241699,2741432
252443.4543,2741440.148,,241133,2741220
247971.3522,2744036.719,,242123,2737270
247234.22,2743564.272,,243735,2736248
247794.8579,2740079.972,,242113,2736942
247957.2135,2740035.466,,243521,2736692
247957.7977,2743988.32,,243845,2736230
252034.6214,2741231.235,,241993,2736506
252034.6493,2741041.783,,243307,2736938
250157.8901,2742922.47,,243725,2736822
251257.2057,2742707.178,,243125,2736956
248494.0505,2745263.286,,243661,2737972
247840.1642,2745258.499,,243799,2739060
251031.9732,2742584.561,,243301,2739410
251245.4053,2742380.694,,242725,2739860
252016.7232,2742408.497,,243575,2739470
251980.7722,2741954.924,,243079,2739214
251973.0351,2742321.523,,243149,2738370
242553.2038,2742185.228,,243177,2740022
245171.7799,2738860.957,,243379,2740028
240486.3233,2737185.287,,243577,2738350
246694.7863,2743533.168,,242575,2739974
242732.2946,2742778.689,,243065,2740180
245764.2852,2739225.711,,243257,2740742
,,,242047,2740648
,,,243801,2741550
,,,241925,2740778
,,,243557,2741994
,,,243723,2741070
,,,242593,2741230
,,,243689,2741990
,,,242575,2740340
,,,243319,2742188
,,,243123,2742964
,,,242457,2743332
,,,242525,2743510
,,,243553,2742478
,,,242817,2742208
,,,242657,2743192
,,,242473,2743970
,,,243795,2743500
,,,242165,2743930
,,,244721,2737892
,,,244133,2736320
,,,244623,2737012
,,,244073,2736144
,,,245237,2738008
,,,245357,2736320
,,,244765,2737030
,,,244769,2737318
,,,243987,2738092
,,,245689,2736446
,,,245123,2738596
,,,245861,2738228
,,,244737,2739576
,,,244061,2739438
,,,245515,2738164
,,,245573,2739344
,,,244361,2738732
,,,244415,2739536
,,,245577,2738614
,,,244733,2738974
,,,244591,2742092
,,,245553,2740364
,,,244189,2741696
,,,245583,2740612
,,,245071,2740662
,,,244769,2740522
,,,243917,2741330
,,,244249,2740564
,,,245031,2741576
,,,245561,2740624
,,,245505,2743650
,,,244949,2743698
,,,245033,2743566
,,,245477,2742746
,,,245451,2742776
,,,244989,2743210
,,,244993,2743620
,,,244289,2742362
,,,245199,2743356
,,,244959,2743044
,,,244437,2744512
,,,244315,2745522
,,,244267,2746060
,,,243895,2745628
,,,244449,2744860
,,,243939,2746102
,,,244667,2744652
,,,244719,2744770
,,,245709,2744194
,,,245349,2744872
,,,244167,2750116
,,,244369,2751898
,,,245693,2750422
,,,245111,2750288
,,,244211,2751888
,,,244649,2750718
,,,244601,2751200
,,,244429,2750284
,,,245577,2751374
,,,245159,2750646
,,,247189,2737314
,,,247077,2737414
,,,246797,2737062
,,,246603,2737458
,,,246089,2737772
,,,246277,2737216
,,,245957,2737012
,,,247253,2736174
,,,246255,2737148
,,,247641,2738044
,,,247315,2738286
,,,247157,2740014
,,,246477,2739784
,,,246201,2739890
,,,246419,2739636
,,,246981,2738524
,,,246399,2738380
,,,247329,2739476
,,,247707,2738952
,,,246953,2739708
,,,246577,2740112
,,,246853,2740966
,,,246411,2741828
,,,246305,2741692
,,,247281,2740358
,,,246883,2741620
,,,246133,2740222
,,,246683,2741692
,,,247189,2741016
,,,247021,2741546
,,,247037,2743270
,,,246055,2742280
,,,246147,2743412
,,,246071,2742910
,,,246397,2742906
,,,247633,2743906
,,,246613,2742798
,,,246515,2742852
,,,247031,2743314
,,,246551,2742576
,,,246899,2746016
,,,246743,2744732
,,,247283,2744688
,,,246507,2745728
,,,246379,2744198
,,,247653,2745188
,,,246939,2745754
,,,247735,2745384
,,,245953,2745754
,,,246561,2745648
,,,246767,2747512
,,,246295,2747972
,,,246561,2746532
,,,247417,2747414
,,,246505,2747536
,,,247183,2747814
,,,247075,2748090
,,,247665,2746966
,,,247531,2746144
,,,246663,2746824
,,,246817,2749374
,,,247299,2748942
,,,247023,2749834
,,,246345,2749934
,,,247225,2748826
,,,245895,2749424
,,,247019,2750058
,,,247799,2748782
,,,246575,2749160
,,,245979,2749226
,,,247157,2751674
,,,247829,2750866
,,,246979,2751520
,,,247717,2750766
,,,246459,2751186
,,,246405,2751616
,,,246543,2751280
,,,246141,2751554
,,,246019,2751896
,,,247373,2751862
,,,248341,2736914
,,,248201,2737460
,,,249251,2736658
,,,249867,2737332
,,,248603,2737874
,,,248509,2736914
,,,249877,2736112
,,,248307,2737696
,,,249885,2737788
,,,248249,2736550
,,,248675,2739090
,,,248445,2739084
,,,248347,2738508
,,,248581,2738800
,,,249721,2739324
,,,248803,2738156
,,,248833,2739174
,,,249137,2738746
,,,249047,2739324
,,,249173,2738304
,,,248425,2742100
,,,249623,2741256
,,,249581,2741720
,,,248987,2741108
,,,249263,2741140
,,,248297,2741100
,,,249541,2741420
,,,249611,2740640
,,,249457,2741864
,,,248725,2741366
,,,247895,2743210
,,,248805,2742608
,,,248357,2743168
,,,249141,2742870
,,,247921,2743632
,,,248295,2743472
,,,247981,2742204
,,,249761,2743372
,,,248485,2742876
,,,249259,2744058
,,,249053,2746092
,,,249715,2744244
,,,248327,2745542
,,,248097,2745996
,,,248321,2744222
,,,249463,2745912
,,,248775,2745356
,,,248715,2745364
,,,249719,2745914
,,,247889,2744908
,,,249493,2746894
,,,249497,2747716
,,,248293,2746690
,,,248961,2747382
,,,247969,2746862
,,,249621,2748016
,,,248917,2746192
,,,249177,2746888
,,,248783,2748056
,,,248679,2746658
,,,248765,2749208
,,,248613,2748638
,,,248715,2749554
,,,248579,2748594
,,,249613,2749358
,,,249253,2749042
,,,248451,2748446
,,,248207,2749836
,,,249099,2749184
,,,248345,2748804
,,,249301,2750324
,,,248393,2751776
,,,248113,2750460
,,,249659,2750912
,,,248453,2751106
,,,249631,2750242
,,,248195,2751314
,,,249863,2751668
,,,248999,2750868
,,,249607,2750870
,,,251555,2738482
,,,251713,2739270
,,,251629,2738506
,,,251025,2738478
,,,251843,2738872
,,,250209,2738388
,,,251581,2739796
,,,251577,2738338
,,,251883,2739444
,,,251261,2738674
,,,251109,2740892
,,,251123,2741940
,,,250277,2740934
,,,251869,2741664
,,,251861,2740820
,,,250641,2741496
,,,251001,2742050
,,,250573,2741514
,,,250275,2741036
,,,250115,2741050
,,,251875,2742336
,,,250047,2742528
,,,250341,2742534
,,,250581,2742538
,,,250059,2743134
,,,250987,2742740
,,,251319,2742744
,,,249987,2743672
,,,249943,2742530
,,,250471,2742332
,,,250531,2745286
,,,250499,2745194
,,,250013,2745172
,,,249967,2744820
,,,251299,2744564
,,,249965,2744726
,,,250309,2744910
,,,250537,2745284
,,,251053,2745860
,,,250209,2745078
,,,250885,2746556
,,,251667,2746906
,,,250551,2746316
,,,250571,2747342
,,,250959,2747520
,,,251191,2747092
,,,251213,2746248
,,,251785,2747734
,,,250601,2746358
,,,250101,2746128
,,,251397,2748536
,,,250251,2748514
,,,251721,2749352
,,,251039,2748710
,,,251769,2748530
,,,250137,2748716
,,,251295,2749820
,,,249943,2748860
,,,251253,2749014
,,,250331,2749480
,,,253291,2739480
,,,252385,2738990
,,,252925,2739118
,,,252907,2738682
,,,252781,2738210
,,,252609,2738424
,,,252309,2738182
,,,252773,2739850
,,,253433,2738220
,,,252545,2739892
,,,253149,2740824
,,,253653,2741052
,,,252435,2741612
,,,253137,2740748
,,,252953,2741056
,,,252685,2740448
,,,252137,2740848
,,,253865,2741204
,,,252339,2742014
,,,253731,2741936
,,,253297,2742644
,,,253235,2744064
,,,252809,2742886
,,,252655,2742340
,,,253825,2742794
,,,252477,2742852
,,,252647,2743060
,,,251951,2743692
,,,252113,2742828
,,,252359,2743330
,,,253411,2745226
,,,252287,2745470
,,,252121,2744344
,,,253419,2744754
,,,252781,2745316
,,,252663,2745084
,,,252319,2745868
,,,253877,2744480
,,,252963,2745016
,,,253661,2745968
,,,252845,2746848
,,,252065,2748076
,,,253687,2747824
,,,253303,2748022
,,,253009,2747860
,,,252271,2747876
,,,253469,2747358
,,,252611,2746140
,,,252611,2747646
,,,252681,2747302
,,,254533,2741298
,,,255055,2742096
,,,254633,2741544
,,,255527,2741198
,,,254649,2741410
,,,254315,2740668
,,,254813,2740866
,,,255867,2741180
,,,255709,2740360
,,,254169,2741384
,,,254457,2743766
,,,255483,2742688
,,,255185,2742972
,,,255639,2742982
,,,255719,2743652
,,,254577,2742638
,,,254403,2742138
,,,254925,2742532
,,,255367,2743856
,,,255251,2742434